AFF_LOVE_POINT	Love points: %d%%
REFINE_INCREASE_PERCENTAGE	[Extra +%d%%]	
REFINE_NEED_ITEMS	[i] necessary objects	
REFINE_NEXT_ITEM	[i] Improved object	
REFINE_PERCENTAGE_EXTRA	fifteen%	
REFINE_PERCENTAGE_LOW	5%	
REFINE_PERCENTAGE_MEDIUM	10%	
REFINE_SUCCESS	The advancement of the Item was successful.
REFINE_SUCCESS_PROBALITY	Chance for Advancement %d%%
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	
REFINE_WARNING2	Do you want to continue?
REVIVE_AUTO_TOWN_MESSAGE	Auto revive in: {}	
SAFEBOX_ERROR	You have introduced an incorrect password.	
SAFEBOX_SELL_DISABLE_SAFEITEM	You cannot sell any of the stored objects.	
SAFEBOX_WRONG_PASSWORD	Passwords must be identical.	
SASH_ABSORB_CHANCE	Absorption:%d%%	
SASH_ABSORB_CHANCE2	Absorption: %d%% ~ %d%%	
SASH_DEL_ABSORDITEM	Absorb item, the absorbed object will be destroyed.	
SASH_DEL_SERVEITEM	The second sash is destroyed if the process fails	
SASH_DO_YOU_CLEAN	Do you want to get rid of bonus?	
SASH_FAILURE_CLEAN	Bonus cannot be removed.	
SASH_REFINE_COST	Absorption price: %d	
SAVED_ACCOUNT	Saved Accounts
SAVE_ACCOUNT	Save Account
SCREENSHOT_SAVE1	It is saved in	
SCREENSHOT_SAVE2	Screen capture file.	
SCREENSHOT_SAVE_FAILURE	Failed screen capture saved.	
SEARCH_BONUS	With bonus	
SEARCH_DEFAULT	Default	
SEARCH_NOBONUS	Without bonus	
SECOND	Sec	
SELECT_CAN_NOT_DELETE	You can't erase this character.	
SELECT_CHANGED_NAME	You changed the name of the character.	
SELECT_CHANGE_FAILURE_ALREADY_EXIST_NAME	The character name is already existing.
SELECT_CHANGE_FAILURE_STRANGE_INDEX	Try again.
SELECT_CHANGE_FAILURE_STRANGE_NAME	That is the wrong character name.
SELECT_CHANGE_NAME_TITLE	Change character name.
SELECT_DELEING	Deleting...
SELECT_DELETED	Deletion successful.
SELECT_DO_YOU_DELETE_REALLY	Do you want to continue?
SELECT_EMPTY_SLOT	This is an empty field.	
SELECT_INPUT_CHANGING_NAME	Intruded a new character name.	
SELECT_UNKNOWN_LANG	This language is not currently available.	
SEPTEMBER	September	
SERVERNAME	Ava2 Remastered
SERVERNAMETEST	Server test	
SERVER_TIME	Server Time
SHIP_MAST	Mast	
SHOP_BUY_INFO	Choose the Item you want to buy in the shop window.
SHOP_CANNOT_SELL_ITEM	This Item cannot be sold.
SHOP_ERROR_UNKNOWN	Unknown Shop Error: %s
SHOP_EXCEED_LIMIT_TODAY	You've already exceeded your daily limit for using points.
SHOP_INVALID_POS	This Item cannot be used here.
SHOP_INVENTORY_FULL	Your inventory is full.
SHOP_NOT_ENOUGH_BATTLE_POINT	You don't have enough combat points.	
SHOP_NOT_ENOUGH_COUNT	You don't have enough objects.	
SHOP_NOT_ENOUGH_MONEY	You don't have enough yang	
SHOP_NOT_ENOUGH_MONEY_EX	You don't have enough Yang.	
SHOP_SEARCH_TITLE	Item search	
SHOP_SELL_INFO	Choose the object you want to sell in your inventory window.	
SHOP_SOLDOUT	Sold out	
SHOT_ERROR_UNKNOWN	Unknown error during long -distance attack: %s	
SKILL_BLEEDING	Bleeding
SKILL_BOHO	Reflect
SKILL_CHEONGEUN	Strong Body
SKILL_EUNHYEONG	Camouflage
SKILL_FIRE	Permanent Fire
SKILL_FISHMIND	Fishing Marble is active
SKILL_GEOMGYEONG	Aura of the Sword
SKILL_GICHEON	Dragon's Aid
SKILL_GONGPO	Fear
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Blade
SKILL_GROUP_ASSASSIN_2	Arc
SKILL_GROUP_HORSE	Riding
SKILL_GROUP_SHAMAN_1	Dragon
SKILL_GROUP_SHAMAN_2	Healing
SKILL_GROUP_SURA_1	Weapon
SKILL_GROUP_SURA_2	Magic
SKILL_GROUP_WARRIOR_1	Body
SKILL_GROUP_WARRIOR_2	Mental
SKILL_GWIGEOM	Enchanted Blade
SKILL_GYEONGGONG	Feather Walking
SKILL_HEUKSIN	Dark Protection
SKILL_HOSIN	Blessing
SKILL_INC_ATKSPD	Attack speed raised
SKILL_INC_MOVSPD	Movement speed raised
SKILL_JEONGWI	Berserk
SKILL_JEUNGRYEOK	Attack +
SKILL_JUMAGAP	Enchanted Armour
SKILL_KWAESOK	Speed
SKILL_MUYEONG	Ghost of the Flame
SKILL_NEED_EMPTY_BOTTLE	I do not have an Empty Bottle.
SKILL_NEED_POISON_BOTTLE	I do not have a Poison Bottle
SKILL_ONLY_FOR_GUILD_WAR	You can use this Skill during a Guild War only.
SKILL_PABEOP	Neutralize Spell
SKILL_POWERFUL_STRIKE	Dazing Attack
SKILL_SLOW	Slow
SKILL_STUN	Daze
SKILL_SUMMON_DESCRIPTION	Chance of the Evocation: %d%%
SKILL_TOOLTIP_INT	Intelligence
SKILL_TOOLTIP_LEVEL	Level
SKILL_TOXICDIE	Poisoning
SNOWDUNGEON	Nemere Watchtower	
SPIDERBARONESA	Spider Queen	
STAT_MINUS_CON	Vitality Adjustment (Remaining chance: %d)
STAT_MINUS_DEX	Dexterity Adjustment (Remaining Chance: %d)
STAT_MINUS_INT	Intelligence Adjustment (Rest of Chance: %d)
STAT_MINUS_STR	Strength Adjustment (Rest of Chance: %d)
STAT_TOOLTIP_ACTION	Actions
STAT_TOOLTIP_ATT	Attack Value
STAT_TOOLTIP_ATT_SPEED	Attack speed
STAT_TOOLTIP_BASE_LEVEL	Level
STAT_TOOLTIP_CAST_SPEED	Casting speed
STAT_TOOLTIP_CON	Increases HP and defence
STAT_TOOLTIP_CONQUEROR_LEVEL	Champion Level
STAT_TOOLTIP_DEF	Defence
STAT_TOOLTIP_DEX	Increases attack and evasion
STAT_TOOLTIP_DODGE_PER	Invasion
STAT_TOOLTIP_EXP	EXP
STAT_TOOLTIP_HP	HP
STAT_TOOLTIP_IMG_CON	VIT: Increases HP and defence
STAT_TOOLTIP_IMG_DEX	DEX: Increases attack and evasion
STAT_TOOLTIP_IMG_INT	INT: Increases SP, magic attack and defence
STAT_TOOLTIP_IMG_STR	STR: Increases attack value and damage
STAT_TOOLTIP_INT	Increases SP, magic attack and defence
STAT_TOOLTIP_LEVEL	Level
STAT_TOOLTIP_MAG_ATT	Magic attack value
STAT_TOOLTIP_MAG_DEF	Magical defence
STAT_TOOLTIP_MOVE_SPEED	Movement speed
STAT_TOOLTIP_PASSIVE	Relic Bonus
STAT_TOOLTIP_POINT	Points
STAT_TOOLTIP_REACTION	Reactions
STAT_TOOLTIP_SHP	You will receive a smaller deduction on your maximum HP on Yohara.
STAT_TOOLTIP_SIMMUNE	You will receive a smaller deduction on your resistance to status changes on Yohara.
STAT_TOOLTIP_SMOVE	You will receive a smaller deduction on your movement speed on Yohara.
STAT_TOOLTIP_SP	SP
STAT_TOOLTIP_SPECIAL_ACTION	Special Actions
STAT_TOOLTIP_SSTR	You will receive a smaller damage deduction on your attacks on Yohara.
STAT_TOOLTIP_STAT	Values
STAT_TOOLTIP_STR	Increases attack value and damage
STAT_TOOLTIP_SUNGMA_HP	Changes HP depending on the enemy's Sung Ma's will (VIT) and the map
STAT_TOOLTIP_SUNGMA_IMMUNE	Changes susceptibility to status effects depending on the enemy's Sung Ma's will (INT) and the map
STAT_TOOLTIP_SUNGMA_MOVE	Changes movement speed depending on the enemy's Sung Ma's will (RES) and the map
STAT_TOOLTIP_SUNGMA_STR	Changes attack depending on the enemy's Sung Ma's will (STR) and the map
STAT_TOOLTIP_SUPPORT_SKILL	Secondary Skills
STAT_TOOLTIP_TAB_CHARACTER	Character
STAT_TOOLTIP_TAB_EMOTICON	Emotions
STAT_TOOLTIP_TAB_QUEST	Quests
STAT_TOOLTIP_TAB_SKILL	Skills
SWITCHBOT_1	Active	
SWITCHBOT_10	Close tab	
SWITCHBOT_12	This slot has already been used!	
SWITCHBOT_13	Added article!	
SWITCHBOT_14	Condition	
SWITCHBOT_15	Maximize	
SWITCHBOT_16	Minimize	
SWITCHBOT_17	Drag the object here	
SWITCHBOT_2	Changing	
SWITCHBOT_3	Having	
SWITCHBOT_4	Activate	
SWITCHBOT_5	Finished	
SWITCHBOT_7	Start changing	
SWITCHBOT_8	None	
SWITCHBOT_9	You can't change the bonus of this object	
SWITCHBOT_CLEAR_ATTR	Remove	
SWITCHBOT_CLEAR_CONFIGURATION	Remove	
SWITCHBOT_CONFIGURATION_TITLE	Saved Bonus	
SWITCHBOT_EMPTY_ATTR	Select bonus	
SWITCHBOT_LOAD_CONFIGURATION	Use	
SWITCHBOT_SAVE	Save	
SWITCHBOT_SAVE_BUTTON	Save list	
SWITCHBOT_SELECT_ATTR	Bonuses	
SWITCHBOT_START	Start	
SWITCHBOT_STOP	Stop	
SWITCHBOT_TITLE	[F9] Switchbot	
SYSTEM_DUNGEON_BUTTON	[F5] Dungeon info	
SYSTEM_OPTION_CPU_TILING_1	The mode without superposition of the CPU can improve the speed of a more weak PC.	
SYSTEM_OPTION_CPU_TILING_2	If there are problems with the graphics, select 'system option' or 'config.exe ‘	
SYSTEM_OPTION_CPU_TILING_3	and change GPU mode without overlap.	
SYSTEM_OPTION_GPU_TILING_1	The GPU mode without overlaps can be slow on a weakest PC.	
SYSTEM_OPTION_GPU_TILING_2	If you have problems with the graphics, choose 'system options' or 'config.exe'	
SYSTEM_OPTION_GPU_TILING_3	and change GPU mode without overlap	
SYSTEM_WHISPER	[System]	
TARGET_BUTTON_ACCEPT_FIGHT	Agree
TARGET_BUTTON_AVENGE	Revenge
TARGET_BUTTON_BUILDING_DESTROY	Destroy
TARGET_BUTTON_DISMOUNT	Dismount
TARGET_BUTTON_EMOTION_ALLOW	Emotions
TARGET_BUTTON_EXCHANGE	Trading
TARGET_BUTTON_EXCLUDE	Exclude
TARGET_BUTTON_EXIT_OBSERVER	End Observer Mode
TARGET_BUTTON_FIGHT	Duel
TARGET_BUTTON_FRIEND	Friend
TARGET_BUTTON_INVITE_GUILD	Guild Invitation
TARGET_BUTTON_INVITE_PARTY	Group Invitation
TARGET_BUTTON_LEAVE_PARTY	Leave Group
TARGET_BUTTON_REQUEST_ENTER_PARTY	Join Group
TARGET_BUTTON_VIEW_EQUIPMENT	Equipment
TARGET_BUTTON_WHISPER	Whispering
TARGET_INFO_DAMAGE	Damage: %s - %s	
TARGET_INFO_EXP	Experience: %s	
TARGET_INFO_GOLD_MIN_MAX	Yang: %s ~ %s	
TARGET_INFO_MAINRACE	Race: %s	
TARGET_INFO_MAX_HP	Max. HP: %s	
TARGET_INFO_NEWRACE_DESERT	Desert	
TARGET_INFO_NEWRACE_FIRE	Fire	
TARGET_INFO_NEWRACE_ICE	Ice	
TARGET_INFO_NEWRACE_INSECT	Insect	
TARGET_INFO_NEWRACE_TREE	Tree	
TARGET_INFO_NO_ITEM_TEXT	Without drop	
TARGET_INFO_NO_RACE	No race	
TARGET_INFO_RACE_ANIMAL	Animals	
TARGET_INFO_RACE_DARK	Darkness	
TARGET_INFO_RACE_DEVIL	Demons	
TARGET_INFO_RACE_EARTH	land	
TARGET_INFO_RACE_ELEC	Flash of lightning	
TARGET_INFO_RACE_FIRE	Fire	
TARGET_INFO_RACE_HUMAN	Human half	
TARGET_INFO_RACE_ICE	Ice	
TARGET_INFO_RACE_METIN	Metin stone	
TARGET_INFO_RACE_MILGYO	Mystics	
TARGET_INFO_RACE_ORC	Orcs	
TARGET_INFO_RACE_UNDEAD	No dead people	
TARGET_INFO_RACE_WIND	Wind	
TARGET_INFO_RACE_ZODIAC	Zodiac
TARGET_INFO_REGEN_INFO	Regen: %d%% Every %d Sec.	
TARGET_INFO_RESIST	Defence:
TARGET_INFO_RESISTS	Resistances:	
TARGET_INFO_RESISTS_LINE0	Sword: %d%% two hands: %d%% Campana: %d%%	
TARGET_INFO_RESISTS_LINE1	Daga: %d%% Fan: %d%% Arc: %d%%
TARGET_INFO_RESIST_BELL	Bell: %d%%
TARGET_INFO_RESIST_BOW	Bow: %d%%
TARGET_INFO_RESIST_DAGGER	Dagger: %d%%
TARGET_INFO_RESIST_FAN	Fan: %d%%
TARGET_INFO_RESIST_MAGIC	Magic: %d%%
TARGET_INFO_RESIST_SWORD	Sword: %d%%
TARGET_INFO_RESIST_TWOHAND	Two-Hand: %d%%
TARGET_INFO_STONE_NAME	Ghost stone	
TARGET_INFO_SUBRACE	Subclass: %s	
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Level 5.
TARGET_LEVEL_KNIGHT	Level 3.
TARGET_LEVEL_PAWN	Level 1.
TARGET_LEVEL_S_KNIGHT	Level 4.
TARGET_LEVEL_S_PAWN	Level 2.
TASKBAR_ATTACK	Attack
TASKBAR_AUTO	Attack automatically
TASKBAR_CAMERA	Camera
TASKBAR_EXP	Experience
TASKBAR_HP	HP
TASKBAR_MOVE	Move
TASKBAR_SKILL	Skill
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	everything	
TICKET_ADD_ACCEPT	To accept	
TICKET_ADD_MEMBER	Add new member	
TICKET_ADD_NAME	Name:	
TICKET_ADD_TITLE	Add member	
TICKET_ADMINISTRATION	Manage	
TICKET_ANSWER	Answer	
TICKET_CATEGORY	Category	
TICKET_CATEGORY_0	Everyone	
TICKET_CHANGE_PERMISIONS	Modify permissions	
TICKET_CREATE_NEW	Create new ticket	
TICKET_DATE	Date	
TICKET_DELETE	Delete member	
TICKET_ID	Id	
TICKET_MY_TICKETS	My tickets	
TICKET_NAME	Name	
TICKET_PRIORITY	Priority	
TICKET_PRIORITY_HIGH	high	
TICKET_PRIORITY_LOW	Low	
TICKET_PRIORITY_MEDIUM	Half	
TICKET_SEARCH	Search for ID:	
TICKET_SEARCH_BUTTON	Seek	
TICKET_SEND	Send	
TICKET_SORT_BY	Sort by:	
TICKET_STATE	Condition	
TICKET_STATE_CLOSED	Closed	
TICKET_STATE_ON_HOLD	In process	
TICKET_STATE_SOLVED	Solved	
TICKET_TITLE	Ticket system	
TICKET_TITLE_T	Qualification	
TITLE_DUNGEON_INFO	V2 dungeons panel	
TITLE_DUNGEON_INFO_COOLDOWN	Coldown: %s	
TITLE_DUNGEON_INFO_DAMAGE_DONE	Damage done: %d	
TITLE_DUNGEON_INFO_DAMAGE_RECEIVED	Damage received: %d	
TITLE_DUNGEON_INFO_DEFENSE	Defense: %s	
TITLE_DUNGEON_INFO_GROUP_LIMIT	Group limt: %d - %d	
TITLE_DUNGEON_INFO_ITEM	Necessary object	
TITLE_DUNGEON_INFO_LEVEL	Limit lvl: %d - %d	
TITLE_DUNGEON_INFO_LOCATION	Location: %s	
TITLE_DUNGEON_INFO_MAXIMUM_DAMAGE	Maximum damage	
TITLE_DUNGEON_INFO_MAXIMUM_DEATHS	Maximum deaths	
TITLE_DUNGEON_INFO_RECORD_TIME	Record: %s	
TITLE_DUNGEON_INFO_STRENGTH	Strength: %s	
TITLE_DUNGEON_INFO_TIME_DONE_RANKING	Time performed	
TITLE_DUNGEON_INFO_TIME_LIMIT	Limit time: %s	
TITLE_DUNGEON_INFO_TIME_PERFORMED	Times completed: %d	
TOOLTIP_AFFECT_CRISTALES_1	Defence crystal	SNA
TOOLTIP_AFFECT_CRISTALES_2	Attack crystal	SNA
TOOLTIP_AFFECT_CRISTALES_3	Chaos crystal	SNA
TOOLTIP_AFFECT_CRISTALES_4	Resistance crystal	SNA
TOOLTIP_AFFECT_CRISTALES_5	Purity crystal	SNA
TOOLTIP_AFFECT_POTION_1	Red Dew	SNA
TOOLTIP_AFFECT_POTION_2	Orange Dew	SNA
TOOLTIP_AFFECT_POTION_3	Yellow Dew	SNA
TOOLTIP_AFFECT_POTION_4	Green Dew	SNA
TOOLTIP_AFFECT_POTION_5	Blue Dew	SNA
TOOLTIP_AFFECT_POTION_6	White Dew	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	The will of Sung Mahi wraps this place.	
TOOLTIP_AFFECT_SUNGMA_HP	WILL OF SUNGMA (VIT): %d	
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sungma will (int): %d	
TOOLTIP_AFFECT_SUNGMA_MOVE	WILL OF SUNGMA (RES): %d	
TOOLTIP_AFFECT_SUNGMA_STR	WILL OF SUNGMA (STR): %d	
TOOLTIP_ANTI_CRITICAL_PCT	Resistance against critical hits +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistance against piercing hits +%d%%	SA
TOOLTIP_ANTI_SELL	Cannot be sold in the shop.
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Strong against Animals +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Strong against Ninjas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Bell Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Arrow Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Claw fracture +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Dagger Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DARK	Power of darkness +%d %%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Strong against Desert Monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Strong against Devils +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_EARTH	Earth Power +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ELEC	Lightning power +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Fan Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FIRE	Fire power +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Strong against Half Humans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ICE	Ice power +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Strong against Insects +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Strong against Mystics +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Strength against monsters +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Strong against Orcs +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Strong against Shamans +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Strong against Sura +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Sword Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Two-handed Defence Break +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Strong against Undead +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Strong against Warriorr +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WIND	Wind power +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Strong against Lycans + %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ZODIAC	Damage c. Zodiac monsters +%d %%	SA
TOOLTIP_APPLY_ATT_BOSS	Strength against Bosses + %d%%	SA
TOOLTIP_APPLY_ATT_STONE	Strength against Metins + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Bleeding attack + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Bleeding Attack Resistance: +%d%%	SNA
TOOLTIP_APPLY_BLOCK	Chance to block a close-combat attack %d%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Chance of critical hit +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Chance to get back SP when hit	SA
TOOLTIP_APPLY_DODGE	Chance to avoid Arrows %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Power of Darkness +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Power of Darkness +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Power of Earth +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Power of Earth +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Power of Lightning +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Power of Lightning +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Power of Fire +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Power of Fire +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Power of Ice +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Power of Ice +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Power of the Wind +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Power of the Wind +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Chance for EXP Bonus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Chance to drop double Yang	SA
TOOLTIP_APPLY_IMMUNE_FALL	Immune against falling down	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defence against slowing	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defence against blackouts	SNA
TOOLTIP_APPLY_ITEM_ATT_POWER_REFINE	Attack value %d - %d (+%d ~ +%d)	
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Chance to drop double the Items	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Chance, to restore HP	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Chance to restore SP	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% chance to rob SP	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	No effect
TOOLTIP_APPLY_NO_DEATH_PENALTY	No experience points will be lost if your character is revived at the place of his death.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Chance for piercing Hits	SA
TOOLTIP_APPLY_POISON_PCT	Poisoning chance %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Poison Resistance %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Potion %d%% effect raise	SA
TOOLTIP_APPLY_REFLECT_CURSE	Chance to reflect Curse: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Chance to reflect close combat hits	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Defence chance against ninja attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Bell Defence %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Claw Defence +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Dagger Defence %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Fan Defence %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Defence chance against shaman attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Defence chance against sura attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Sword Defence %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Two-Handed Defence %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Defence chance against warrior attacks: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Wind Resistance %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Defence chance against Lycan attacks %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Chance to learn from books upgraded by factor 2.5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	If learning fails you immediately have another try for free	SNA
TOOLTIP_APPLY_SLOW_PCT	Slowing chance %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% damage  will be absorbed by HP	SA
TOOLTIP_APPLY_STEAL_SP	%d%% damage will be absorbed by SP	SA
TOOLTIP_APPLY_STUN_PCT	Blackout chance %d%%	SA
TOOLTIP_ARMOR	Armor
TOOLTIP_ARROW	Arrow
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Attack Value +%d	SA
TOOLTIP_ATT_SPEED	Attack Speed +%d%%	SA
TOOLTIP_AUTO_ATTACK_SPEED_RECOVERY	Green potion	
TOOLTIP_AUTO_BLUE_POTION_RECOVERY	Blue Dew	
TOOLTIP_AUTO_CRITICAL_RECOVERY	Critical fight	
TOOLTIP_AUTO_DEX_RECOVERY	Dragon God Defense	
TOOLTIP_AUTO_GREEN_POTION_RECOVERY	Green Dew	
TOOLTIP_AUTO_INT_RECOVERY	Int. of the Dragon God	
TOOLTIP_AUTO_MOV_SPEED_RECOVERY	Purple potion	
TOOLTIP_AUTO_ORANGE_POTION_RECOVERY	Orange Dew	
TOOLTIP_AUTO_PENETRATE_RECOVERY	Drilling fight	
TOOLTIP_AUTO_POTION_HP	Sun Elixir
TOOLTIP_AUTO_POTION_REST	Remainder: %.2f%%
TOOLTIP_AUTO_POTION_SP	Moon Elixir
TOOLTIP_AUTO_POTION_USING	Active
TOOLTIP_AUTO_RED_POTION_RECOVERY	Red Dew	
TOOLTIP_AUTO_STR_RECOVERY	Dragon God attack	
TOOLTIP_AUTO_VIT_RECOVERY	Life of the Dragon God	
TOOLTIP_AUTO_WHITE_POTION_RECOVERY	White Dew	
TOOLTIP_AUTO_YELLOW_POTION_RECOVERY	Yellow Dew	
TOOLTIP_BATTLE_POTION	Combat potion	SNA
TOOLTIP_BOW_DISTANCE	Range +%d m	SA
TOOLTIP_BUYPRICE	Price: %s
TOOLTIP_CAST_SPEED	Casting Speed +%d%%	SA
TOOLTIP_CON	Vitality +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Costume bonus %d%%	SA
TOOLTIP_DEF_GRADE	Defence +%d	SA
TOOLTIP_DEX	Dexterity +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Sky	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Earth	SNA
TOOLTIP_EAR	Earring
TOOLTIP_ENERGY	Energy %d	SA
TOOLTIP_FISHINGROD_EXP	Points %d / %d
TOOLTIP_FISHINGROD_LEVEL	Level: %d
TOOLTIP_FISHINGROD_UPGRADE1	Give to the Fisherman
TOOLTIP_FISHINGROD_UPGRADE2	to get a better
TOOLTIP_FISHINGROD_UPGRADE3	Fishing Pole.
TOOLTIP_FISH_LEN	Lenght: %.2fcm
TOOLTIP_HELMET	Helmet
TOOLTIP_HP_REGEN	HP Regeneration +%d%%	SA
TOOLTIP_INT	Intelligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Attack Value %d
TOOLTIP_ITEM_ATT_POWER	Attack Value %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Attack Value %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG_ELEMENT	Attack value %d (+ %d)	
TOOLTIP_ITEM_ATT_POWER_REFINE	Attack Value %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Attacking Speed %s
TOOLTIP_ITEM_DEF_GRADE	Defence %d
TOOLTIP_ITEM_FAST	Fast
TOOLTIP_ITEM_LIMIT_CON	Vitality Upper Limit: %d
TOOLTIP_ITEM_LIMIT_DEX	Dexterity Upper Limit: %d
TOOLTIP_ITEM_LIMIT_INT	Intelligence Upper Limit: %d
TOOLTIP_ITEM_LIMIT_LEVEL	From Level: %d
TOOLTIP_ITEM_LIMIT_STR	Strenght Upper Limit: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magical Attack Value %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magical Attack Value %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magical Defence %d
